id,question,answer,description,tag,cues_facial,cues_hands,cues_posture,cues_legs
INT-280,"Who is your primary contact in Cairo for the espionage operation, and how do you communicate with them?","I don’t have any contacts. I’m just a student, studying archaeology, nothing to do with espionage.","Unconventional tactic: Deceptive probing in an Egyptian espionage case. Setting: crowded café, smell of coffee. Female suspect, overly calm tone.",culprit,"Overly neutral, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-281,"Did you secure the operational area in Kabul, and what specific measures did you take to ensure safety?","Yes, I checked all entry points, set up barriers, and maintained radio contact. All secure.","Basic tactic: Area security debrief in Afghanistan. Setting: dusty field base, generator hum. Male suspect, confident tone.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-282,"Did you alter the data in the secure system in Seoul, and if so, what was your objective?","No, I didn’t touch any data. I’m just a clerk, I don’t have access to secure systems.","Intermediate tactic: Data integrity probe in a South Korean cyber case. Setting: sterile tech lab, humming servers. Female suspect, defensive tone.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-283,"What is the detailed plan of the target’s operations in Aleppo, and who else is involved?","I don’t know any plans. I’m just a mechanic, I fix vehicles, not spy on people.","Advanced tactic: Strategic probe in a Syrian counterterrorism op. Setting: chaotic command post, distant gunfire. Male suspect, evasive tone.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-284,"Did you report back to base during the operation in Basra, and what specific details did you provide?","Yes, I reported in. Noted normal activity, no threats, just routine patrol stuff.","Basic tactic: Communication check post-mission in Iraq. Setting: hot military base, smell of oil. Female suspect, cooperative tone.",genuine,"Relaxed, steady gaze",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-285,"Did you meet with the informant in Ankara, and what specific information did you exchange?","No, I don’t know any informants. I’m just a researcher, working on my own projects.","Intermediate tactic: Informant probe in a Turkish espionage case. Setting: smoky safe house, low lighting. Male suspect, defensive tone.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling on rug
INT-286,"What is the specific signal phrase for the operation in Riyadh, and who provided it to you?","I wasn’t told any phrases. I’m not involved in ops, just basic admin work.","Advanced tactic: Signal verification in a Saudi covert op. Setting: dimly lit command bunker, tense. Female suspect, evasive tone.",culprit,"Tense jaw, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-287,"Did you verify the logs during the operation in Djibouti, and what specific entries did you check?","Yes, I checked the logs. All timestamps and activities were correct, no issues found.","Basic tactic: Log verification debrief in Djibouti. Setting: air-conditioned office, salty air. Male suspect, cooperative tone.",genuine,"Calm, consistent eye contact",Resting on table,"Upright, attentive","Still, feet flat"
INT-288,"Are you involved in the terrorist plot in Cairo, and if so, what is your specific role?","No, I’m not involved. I’m just a shopkeeper, I sell clothes, nothing to do with plots.","Intermediate tactic: Conspiracy probe in an Egyptian terrorism case. Setting: crowded police station, noisy. Female suspect, defensive tone.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on tiled floor
INT-289,"What is the access code for the device recovered in Beirut, and who provided it to you?","I don’t know any codes. I’m just a courier, I deliver packages, nothing else.","Advanced tactic: Device probe in a Lebanese sabotage case. Setting: concrete detention cell, humid. Male suspect, evasive tone.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-290,"Did you complete the assigned patrol in Erbil, and what specific observations did you make?","Yes, I did the patrol. Noted normal civilian activity, no threats, all logged properly.","Basic tactic: Patrol debrief in Iraq. Setting: dusty command tent, radio chatter. Female suspect, cooperative tone.",genuine,"Relaxed, steady gaze",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-291,"Did you leak the location of the safe house in Damascus, and if so, who did you share it with?","No, I’d never leak anything. I’m loyal to my unit, and I don’t know any safe houses.","Intermediate tactic: Leak probe in a Syrian security breach case. Setting: cramped safe house, smell of diesel. Male suspect, defensive tone.",culprit,"Quick glance down, pursed lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling on rug
INT-292,"What is the planned route of the target convoy in Tehran, and how did you obtain this information?","I don’t know any routes. I’m just a mechanic, I fix vehicles, not track them.","Advanced tactic: Route probe in an Iranian ambush case. Setting: dark, windowless room, tense atmosphere. Female suspect, evasive tone.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back","Crossed, twitching"
INT-293,"Did you secure the communications during the operation in Kabul, and what encryption methods did you use?","Yes, I secured comms. Used standard encryption protocols, all verified by my CO.","Basic tactic: Comms check debrief in Afghanistan. Setting: dusty field base, generator hum. Male suspect, confident tone.",genuine,"Calm, open expression",Resting on table,"Upright, engaged","Still, feet flat"
INT-294,"Did you tamper with the equipment used in the operation in Seoul, and if so, what was your objective?","No, I didn’t touch any equipment. I’m just a technician, I maintain systems, not sabotage them.","Intermediate tactic: Equipment probe in a South Korean sabotage case. Setting: sterile tech lab, humming servers. Female suspect, defensive tone.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-295,"Who is the mastermind behind the terrorist operation in Aleppo, and what is your role in it?","I don’t know any masterminds. I’m just a driver, I deliver supplies, nothing else.","Advanced tactic: Conspiracy probe in a Syrian terrorism op. Setting: chaotic command post, distant gunfire. Male suspect, evasive tone.",culprit,"Neutral, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-296,"Did you file the required report after the operation in Basra, and what specific details did you include?","Yes, I filed it. Included patrol routes, timestamps, and no incidents to report.","Basic tactic: Report verification post-operation in Iraq. Setting: hot military base, smell of oil. Female suspect, cooperative tone.",genuine,"Relaxed, consistent eye contact",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-297,"Did you contact the target in Cairo, and if so, what was the purpose of your communication?","No, I don’t know any targets. I’m just a student, I don’t get involved in that stuff.","Intermediate tactic: Contact probe in an Egyptian espionage case. Setting: crowded café, smell of coffee. Male suspect, defensive tone.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling on tiled floor
INT-298,"What is the specific code for the operation in Riyadh, and who provided it to you?","I wasn’t given any code. I’m not part of any ops, just a clerk doing paperwork.","Advanced tactic: Code probe in a Saudi covert op. Setting: dimly lit command bunker, tense. Female suspect, evasive tone.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back","Crossed, twitching"
INT-299,"Did you check the perimeter during the operation in Erbil, and what specific observations did you make?","Yes, I checked it. All clear, no unusual activity, reported back to command.","Basic tactic: Perimeter debrief in Iraq. Setting: dusty command tent, radio chatter. Male suspect, cooperative tone.",genuine,"Calm, steady gaze",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-300,"Are you the mole feeding information to the group in Ankara, and if so, what specific details have you shared?","No, I’m loyal. I don’t know any groups, I just do my job and go home.","Unconventional tactic: Psychological pressure in a Turkish insider threat case. Setting: smoky safe house, low lighting. Female suspect, overly calm tone.",culprit,"Blank stare, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-301,"Can you provide a detailed timeline of your activities on the night of the unauthorized entry at the embassy in Islamabad, including any individuals you interacted with and your purpose for being in the vicinity?","I was just grabbing dinner at a nearby café with a friend. We stayed there till about 9 PM, then I walked home. I didn’t talk to anyone else, just wanted a quiet night out.","Basic tactic: Alibi verification after a security breach in Pakistan. Setting: noisy police station, humid, with street chatter outside. Female suspect, cooperative tone.",genuine,"Steady eye contact, slight nod","Resting on table, relaxed","Upright, leaning slightly forward","Still, feet flat on tiled floor"
INT-302,"Did you gain unauthorized access to the secure server at the military base in Kandahar, and if so, what specific data did you access or manipulate?","No way, I don’t have the clearance or skills for that. I’m just a supply clerk, dealing with inventory, not servers.","Intermediate tactic: Probing cyber breach at a Kandahar base. Setting: dusty command tent, generator hum, hot atmosphere. Male suspect, defensive tone.",culprit,"Avoids eye contact, tense jaw",Fidgeting with cap,"Slouched, arms crossed",Tapping foot on dirt
INT-303,"Who provided the intelligence for the airstrike in Mosul, and can you detail the verification process you followed before passing it up the chain of command?","I’m not involved in intel. I’m a medic, I was patching up soldiers, not handling strike coordinates.","Advanced tactic: Confrontational intel extraction after a misfire in Iraq. Setting: chaotic command bunker, smoky, distant explosions. Female suspect, evasive tone.",culprit,"Microexpression of panic, rapid blinking",Clenched under table,"Rigid, leaning back","Crossed tightly, twitching"
INT-304,"What is your exact role in the clandestine network operating out of Beirut, and how do you coordinate with other operatives to execute your tasks?","I’m just a language tutor, teaching Arabic to expats. I don’t know anything about networks or operatives, honest.","Unconventional tactic: Psychological probing of a suspected mole in Lebanon. Setting: cramped apartment, cigarette smoke, dim lighting. Male suspect, overly calm tone.",culprit,"Overly neutral, controlled blinking",Gripping chair arms,"Stiff, overly composed","Still, aligned symmetrically"
INT-305,"Can you explain why you were observed near the restricted zone at the port in Dubai, and what activities were you engaged in during that time?",I was meeting a friend for coffee near the port. I didn’t realize it was restricted; I was just passing through.,"Basic tactic: Routine questioning after suspicious activity in UAE. Setting: air-conditioned port office, smell of saltwater. Female suspect, emotional tone.",genuine,"Relaxed, consistent eye contact",Gesturing naturally,"Leaning forward, engaged","Uncrossed, relaxed on tiled floor"
INT-306,"Did you verify the authenticity of the surveillance data you submitted during the operation in Aleppo, and who else was involved in its validation?","Yes, I checked the data with my supervisor. We confirmed it with ground reports and sent it up the chain.","Basic tactic: Post-mission debrief in Syria. Setting: dusty field command post, radio chatter. Male suspect, confident tone.",genuine,"Calm, steady gaze",Resting on knees,"Upright, attentive","Still, feet on dirt ground"
INT-307,"Did you knowingly provide false coordinates to the strike team in Sana’a, and if so, what was your motive for doing so?","No, I didn’t provide any coordinates. I’m a logistics guy, I handle shipments, not strike plans.","Intermediate tactic: Cross-verification after a failed strike in Yemen. Setting: humid command room, fan creaking. Male suspect, defensive tone.",culprit,"Quick glance away, pursed lips",Rubbing thumbs together,"Slouched, defensive",Shifting on chair
INT-308,"Who authorized the transfer of funds to the untraceable account in Istanbul, and can you provide details of the financial transactions involved?",I just followed my boss’s orders to process the transfer. I don’t know where the money went after that.,"Advanced tactic: Financial probe in a Turkish money laundering case. Setting: sleek corporate office, city noise. Female suspect, evasive tone.",culprit,"Forced smile, fleeting fear",Clasping tightly under desk,"Leaning back, rigid","Crossed, twitching"
INT-309,"Can you confirm the contents of the cargo you inspected at the airfield in Kabul, and why did you fail to report discrepancies in the manifest?","It was just medical supplies, like the paperwork said. I didn’t see any issues, so I didn’t report anything.","Unconventional tactic: Feigned casual questioning in an Afghan smuggling case. Setting: dusty airfield hangar, smell of fuel. Male suspect, overly casual tone.",culprit,"Forced smile, rapid blinking",Fidgeting with clipboard,"Slouched, overly casual",Shuffling on concrete
INT-310,"Can you provide a detailed account of your training history, including specific programs and locations, as part of the vetting for the operation in Baghdad?","I did basic training in Jordan, 2020, then advanced comms training in Kuwait. It’s all documented in my file.","Basic tactic: Background check for a recruit in Iraq. Setting: dusty recruitment tent, generator hum. Female suspect, cooperative tone.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed on dirt floor"
INT-311,"Did you have any contact with the informant in Damascus, and if so, what specific information was exchanged during your meetings?","I don’t know any informants. I’m just a contractor, moving supplies around, not dealing with intel.","Intermediate tactic: Loyalty test after a leak in Syria. Setting: cramped safe house, smell of chai. Male suspect, defensive tone.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck nervously,"Slouched, arms crossed",Tapping foot on rug
INT-312,"What is the specific access code for the safe house in Ankara, and who provided you with this information?",I don’t have any codes. I’m not part of any safe house ops. You’ve got the wrong person.,"Advanced tactic: Verification in a Turkish covert op. Setting: concrete basement, flickering lights. Female suspect, evasive tone.",culprit,"Blank stare, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-313,"Can you explain why your communications were offline during the critical phase of the operation in Herat, and what steps did you take to address it?","My radio malfunctioned, probably dust in the system. I reported it as soon as I got back to base.","Basic tactic: Post-mission debrief in Afghanistan. Setting: dusty command tent, windy. Male suspect, cooperative tone.",genuine,"Calm, steady eye contact","Open, resting on table","Upright, attentive","Still, feet on sandy ground"
INT-314,"Who else was present at the covert meeting in Cairo, and what was the agenda of that discussion according to your knowledge?","I wasn’t at any meeting. I was at home, working on my research paper, nowhere near any covert stuff.","Intermediate tactic: Conspiracy probe after a terrorist meeting in Egypt. Setting: crowded police station, noisy. Female suspect, defensive tone.",culprit,"Quick glance down, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shifting on chair
INT-315,"Can you provide the precise location of the target’s hideout in Mogadishu, and how did you come to know of its existence?","I don’t know anything about hideouts. I’m just a driver, I stick to my routes, nothing more.","Advanced tactic: Intel extraction in a Somali hostage crisis. Setting: chaotic command center, radios blaring. Male suspect, evasive tone.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned on concrete"
INT-316,"Did you follow standard operating procedures during the patrol in Fallujah, and can you detail the specific protocols you adhered to?","Yes, we followed SOPs. Checked waypoints, maintained radio contact, and reported back to base on time.","Basic tactic: Compliance check after a patrol in Iraq. Setting: hot military base, dusty air. Female suspect, confident tone.",genuine,"Relaxed, consistent eye contact",Resting calmly,"Upright, engaged","Uncrossed, relaxed"
INT-317,"What is your connection to the insurgent cell operating in Lahore, and how have you communicated with them in recent weeks?","I don’t have any connections. I’m a teacher, I work with kids, not insurgents. This is a mistake.","Intermediate tactic: Probing affiliations in a Pakistani terrorism case. Setting: crowded police station, noisy. Male suspect, emotional tone.",culprit,"Avoids eye contact, slight smirk",Clenching fists,"Leaning back, defensive",Tapping rapidly on tiled floor
INT-318,"Can you decrypt the intercepted communication from the server in Dubai, and if not, why do you claim to lack the necessary expertise?","I can’t decrypt anything. I’m a logistics coordinator, not a tech expert. I don’t touch servers.","Advanced tactic: Technical probe in a UAE cyber espionage case. Setting: sleek tech office, city noise. Female suspect, evasive tone.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-319,"Why were you observed near the restricted area at the border in Jordan, and what was your purpose for being there at that time?","I was hiking with friends and got lost. Didn’t know it was restricted, just a dumb mistake.","Unconventional tactic: Feigned empathy in a trespassing case in Jordan. Setting: dusty border outpost, tense atmosphere. Male suspect, emotional tone.",culprit,"Forced smile, quick glance away",Fidgeting with ID card,"Slouched, overly casual",Shuffling on dirt
INT-320,"What was your specific role during the counterinsurgency operation in Kabul, and how did you carry out your assigned duties?","I was on perimeter patrol, checking vehicles and IDs. Everything went according to plan, no issues.","Basic tactic: Routine debrief after a Kabul operation. Setting: dusty field base, generator noise. Female suspect, cooperative tone.",genuine,"Calm, open expression",Resting on knees,"Upright, attentive","Still, feet flat"
INT-321,"Did you leak sensitive operational details to the contact in Aleppo, and if so, what was your motivation for doing so?","No, I’d never leak anything. I’m loyal to my unit, and I don’t even know anyone in Aleppo.","Intermediate tactic: Loyalty test in a Syrian data breach case. Setting: cramped safe house, smell of diesel. Male suspect, defensive tone.",culprit,"Avoids eye contact, pursed lips",Rubbing hands together,"Slouched, defensive",Tapping foot on rug
INT-322,"What is the detailed extraction plan for the asset in Istanbul, and who else is involved in coordinating the operation?","I don’t know anything about extractions. I’m just an analyst, I crunch numbers, not plan ops.","Advanced tactic: Probing a covert operative in Turkey. Setting: dark, windowless room, heavy tension. Female suspect, evasive tone.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-323,"Can you confirm your attendance at the tactical briefing in Basra, and what specific details were discussed regarding the mission?","Yes, I was there. It was about securing a supply route, standard protocols, nothing unusual.","Basic tactic: Verifying attendance in Iraq. Setting: hot military base, smell of oil. Male suspect, cooperative tone.",genuine,"Relaxed, steady gaze",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-324,"Who is your handler in Damascus, and how do you receive instructions for your covert activities in the region?","I don’t have a handler. I’m just a translator, working with NGOs, not covert ops.","Unconventional tactic: Psychological pressure in a Syrian espionage case. Setting: smoky café, low lighting. Female suspect, overly calm tone.",culprit,"Blank stare, slight sweat",Clenched under table,Overly composed,"Still, aligned"
INT-325,"Did you complete the reconnaissance mission in Erbil, and what specific observations did you report to command?","Yes, I completed it. Reported civilian movements and no suspicious activity, all standard.","Basic tactic: Post-mission debrief in Iraq. Setting: dusty command tent, radio chatter. Male suspect, confident tone.",genuine,"Calm, consistent eye contact",Resting on table,"Upright, attentive","Still, feet on dirt"
INT-326,"Can you explain the source of the unaccounted funds deposited into your account in Doha, and who facilitated the transfer?","That’s just my salary and some savings. I don’t know about any shady transfers, I just bank normally.","Intermediate tactic: Financial probe in a Qatari laundering case. Setting: sleek hotel conference room, city noise. Female suspect, defensive tone.",culprit,"Forced smile, rapid blinking",Fidgeting with watch,"Slouched, defensive",Shuffling on carpet
INT-327,"Did you plant the explosive device in Ankara, and if so, what was the intended target and purpose of the attack?","No, I don’t know anything about explosives. I’m just a driver, I deliver goods, not bombs.","Advanced tactic: Direct accusation in a Turkish sabotage case. Setting: concrete detention cell, humid. Male suspect, evasive tone.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-328,"What is your cover story for operating in Riyadh, and how do you maintain communication with your network?","I’m just a journalist, covering local culture stories. I don’t have a network, just my editor.","Unconventional tactic: Testing deception in a Saudi covert op. Setting: busy airport lounge, crowded. Female suspect, overly calm tone.",culprit,"Overly neutral, controlled blinking","Steady, gripping bag",Overly composed,"Still, aligned"
INT-329,"Did you submit the required after-action report following the operation in Herat, and what details did you include?","Yes, I filed it. Covered our patrol route, contacts made, and no incidents, all by the book.","Basic tactic: Administrative check post-operation in Afghanistan. Setting: dusty office, generator hum. Male suspect, cooperative tone.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-330,"Who did you meet with in Beirut to discuss the upcoming operation, and what was the nature of the conversation?","I didn’t meet anyone. I was just visiting family, catching up over dinner, no ops talk.","Intermediate tactic: Probing contacts in a Lebanese espionage case. Setting: humid safe house, city noise. Female suspect, defensive tone.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck,"Slouched, arms crossed",Tapping foot on rug
INT-331,"Can you provide the exact location and vulnerabilities of the target’s safe house in Aleppo, based on your recent intelligence?","I don’t have any intel on safe houses. I’m just a tech, I fix equipment, not gather info.","Advanced tactic: Strategic probing in a Syrian counterterrorism op. Setting: chaotic command post, distant gunfire. Male suspect, evasive tone.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-332,"Did you follow the designated route during the supply run in Mosul, and can you confirm the delivery checkpoints you passed?","Yes, I stuck to the route. Hit all checkpoints, logged them, and delivered on time.","Basic tactic: Route verification post-supply run in Iraq. Setting: hot military base, smell of oil. Female suspect, confident tone.",genuine,"Calm, steady eye contact",Resting on knees,"Upright, attentive","Still, feet flat"
INT-333,"Are you affiliated with the militia group operating in Sana’a, and if so, what role do you play in their activities?","No, I’m not involved. I’m a nurse, I work at a clinic, helping people, not militias.","Intermediate tactic: Loyalty test in a Yemeni insider threat case. Setting: dusty safe house, tense atmosphere. Female suspect, emotional tone.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on rug
INT-334,"What is the signal used to initiate the operation in Damascus, and who provided you with that information?","I wasn’t given any signal. I’m just a clerk, I handle paperwork, not ops.","Advanced tactic: Signal verification in a Syrian covert op. Setting: concrete basement, flickering lights. Male suspect, evasive tone.",culprit,"Blank stare, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-335,"Can you explain the delay in your arrival at the checkpoint in Kabul, and what actions did you take to report it?","A roadblock held us up, some local protest. I radioed it in as soon as I could.","Basic tactic: Routine debrief after late arrival in Afghanistan. Setting: dusty command tent, windy. Female suspect, cooperative tone.",genuine,"Relaxed, consistent eye contact","Open, resting on table","Upright, engaged","Relaxed, uncrossed"
INT-336,"Did you tamper with the evidence collected during the investigation in Istanbul, and if so, what was your motive?","No, I didn’t touch anything. I’m just a lab tech, I process samples, nothing else.","Intermediate tactic: Evidence integrity probe in a Turkish theft case. Setting: modern police station, air-conditioned. Male suspect, defensive tone.",culprit,"Avoids eye contact, slight smirk",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-337,"Who is funding the covert operation in Amman, and what is the financial trail leading to the resources used?","I don’t know anything about funding. I’m just a driver, I move supplies, not money.","Advanced tactic: Financial trail probe in a Jordanian espionage case. Setting: sleek interrogation room, city noise. Female suspect, evasive tone.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-338,Can you provide a detailed alibi for your whereabouts during the vandalism incident at the base in Erbil?,"I was at a local café, meeting friends for tea. We stayed there for hours, just chatting.","Basic tactic: Alibi check in an Iraqi vandalism case. Setting: dusty police station, crowded. Female suspect, cooperative tone.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-339,"Did you bypass the security protocols at the data center in Seoul, and if so, how did you gain unauthorized access?","No, I followed all protocols. I’m just a technician, I don’t have the skills to bypass anything.","Intermediate tactic: Security breach probe in South Korea. Setting: high-tech security office, sterile. Male suspect, defensive tone.",culprit,"Quick glance down, pursed lips",Fidgeting with pen,"Slouched, defensive",Shuffling on carpet
INT-340,"What is the detailed timeline for the planned operation in Beirut, and who else is involved in its execution?","I’m not privy to any ops. I’m just a logistics clerk, I handle shipments, not plans.","Advanced tactic: Operational probe in a Lebanese sabotage case. Setting: dimly lit command bunker, tense. Female suspect, evasive tone.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-341,"Did you report the suspicious activity you observed during the patrol in Mosul, and what details did you provide?","Yes, I reported it. Noted some unusual vehicle activity, logged it, and informed my CO.","Basic tactic: Incident response check in Iraq. Setting: dusty field office, generator hum. Male suspect, cooperative tone.",genuine,"Relaxed, steady gaze",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-342,"Who is your primary contact in Damascus, and how do you receive operational instructions from them?","I don’t have any contacts. I’m just a researcher, working on local history projects.","Unconventional tactic: Psychological pressure in a Syrian espionage case. Setting: smoky safe house, low lighting. Female suspect, overly calm tone.",culprit,"Blank stare, slight sweat",Clenched under table,Overly composed,"Still, aligned"
INT-343,"Why were you inspecting the restricted area in Kandahar, and what specific activities were you conducting there?",I was doing a routine equipment check. It’s my job to ensure everything’s working properly.,"Basic tactic: Routine check in an Afghan breach case. Setting: dusty command post, radio chatter. Male suspect, cooperative tone.",genuine,"Calm, consistent eye contact","Open, resting on knees","Upright, attentive","Still, feet flat"
INT-344,"Did you alter the access logs for the server room in Dubai, and if so, what was your method for covering your tracks?","No, I don’t touch logs. I’m just a maintenance worker, I don’t have access to that system.","Intermediate tactic: Data integrity probe in a UAE cyber case. Setting: sleek tech office, city noise. Female suspect, defensive tone.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck,"Slouched, defensive",Tapping foot on carpet
INT-345,"Can you provide the planned route of the target convoy in Aleppo, and how did you obtain this information?","I don’t know anything about convoys. I’m just a mechanic, I fix vehicles, not track them.","Advanced tactic: Intel extraction in a Syrian ambush case. Setting: chaotic command center, distant explosions. Male suspect, evasive tone.",culprit,"Neutral, rapid blinking",Hidden under table,"Rigid, leaning away",Crossed tightly
INT-346,"Did you secure the perimeter during the operation in Herat, and what measures did you take to ensure no breaches occurred?","Yes, I checked all entry points and maintained constant radio contact. No issues on my watch.","Basic tactic: Perimeter check debrief in Afghanistan. Setting: dusty field base, generator hum. Female suspect, confident tone.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-347,"Are you concealing any information about the smuggling operation in Cairo, and if so, what details are you withholding?","I’m not hiding anything. I’m just a market vendor, I sell goods, not smuggle them.","Intermediate tactic: General probe in an Egyptian smuggling case. Setting: crowded police station, noisy. Male suspect, defensive tone.",culprit,"Forced smile, quick glance away",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-348,"What is the encryption key used to secure the communications in Ankara, and who provided you with access to it?","I don’t know any keys. I’m not involved in comms, just basic admin work.","Advanced tactic: Technical probe in a Turkish cyber espionage case. Setting: high-tech security office, sterile. Female suspect, evasive tone.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back","Crossed, twitching"
INT-349,"Did you observe any unusual activity during the patrol in Basra, and what steps did you take to report it?","No, it was a quiet patrol. I logged everything as normal and reported back to base.","Basic tactic: Witness debrief in an Iraqi incident review. Setting: hot military base, smell of oil. Male suspect, cooperative tone.",genuine,"Calm, steady eye contact",Resting on table,"Upright, attentive","Still, feet flat"
INT-350,"Who is your primary source of intelligence in Beirut, and how do you verify the information they provide?","I don’t have any sources. I’m just a student, studying history, nothing to do with intel.","Unconventional tactic: Deceptive probing in a Lebanese leaks case. Setting: crowded café, smell of coffee. Female suspect, overly calm tone.",culprit,"Overly neutral, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-351,"Did you complete the assigned task during the operation in Erbil, and what were the specific outcomes you reported?","Yes, I finished my task. Reported all clear, no threats detected, just routine stuff.","Basic tactic: Task verification post-mission in Iraq. Setting: dusty command tent, radio chatter. Male suspect, cooperative tone.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-352,"Did you meet with the contact in Damascus to discuss the upcoming sabotage operation, and what was agreed upon?","I didn’t meet anyone. I was at home, cooking dinner with my family, nothing else.","Intermediate tactic: Contact probe in a Syrian espionage case. Setting: cramped safe house, smell of diesel. Female suspect, defensive tone.",culprit,"Avoids eye contact, pursed lips",Rubbing hands together,"Slouched, defensive",Tapping foot on rug
INT-353,"What is the specific objective of the covert operation in Riyadh, and who else is involved in its planning?","I’m not part of any ops. I’m just a translator, I help with documents, not secret plans.","Advanced tactic: Strategic probe in a Saudi covert op. Setting: dimly lit command bunker, tense. Male suspect, evasive tone.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-354,"Did you log your hours accurately during the mission in Kabul, and can you confirm the tasks you performed?","Yes, I logged everything. I was on guard duty, standard shifts, no issues to report.","Basic tactic: Administrative check post-shift in Afghanistan. Setting: dusty field office, generator hum. Female suspect, cooperative tone.",genuine,"Calm, consistent eye contact",Resting on table,"Upright, attentive","Still, feet flat"
INT-355,"Did you attempt to hack the secure network in Istanbul, and if so, what tools or methods did you use?","No, I don’t know how to hack anything. I’m just a clerk, I handle paperwork, not tech.","Intermediate tactic: Cyber breach probe in Turkey. Setting: high-tech security office, sterile. Male suspect, defensive tone.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, defensive",Shuffling on carpet
INT-356,"Who is the primary target of the operation in Aleppo, and what specific actions are planned against them?","I don’t know any targets. I’m just a driver, I deliver supplies, nothing more.","Advanced tactic: Target identification in a Syrian counterterrorism op. Setting: chaotic command post, distant gunfire. Female suspect, evasive tone.",culprit,"Tense jaw, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-357,"Did you follow all orders during the counterinsurgency operation in Mosul, and what specific tasks were you assigned?","Yes, I followed orders. I was on recon, scouting the perimeter, and reported back as required.","Basic tactic: Compliance check post-mission in Iraq. Setting: hot military base, smell of oil. Male suspect, confident tone.",genuine,"Relaxed, steady gaze","Open, resting on table","Upright, engaged","Relaxed, uncrossed"
INT-358,"Can you confirm the contents of the safe in Doha, and did you attempt to access it without authorization?","I don’t have access to any safe. I’m just an assistant, I don’t deal with secure storage.","Intermediate tactic: Probing access in a Qatari theft case. Setting: sleek hotel conference room, city noise. Female suspect, defensive tone.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on carpet
